idItem,codigo,descripcion,unidad,costoUnitario,precioVenta,stock mínimo,comentarios
124,124,jalador tornozolado posterior,Und,93,,1,
125,125,Componente JBL 210Wts,Und,240,,1,
126,126,Componente PowerBass 210 Wts,Und,150,,1,
127,127,Parlante redondo Pioneer  350 WTs TS-A16876S,Und,170,,1,
128,128,Parlante redondO Pioneer 250 WTs TS-R1650S,Und,120,,1,
129,129,Parlante obalado Pioneer 650 Wts TS-A6996S,Und,225,,1,
130,130,Parlante obalado Pioneer 400Wts TS-R6951S,Und,130,,1,
131,131,Parlante redondo Sony x5-FD1030 - 10cm/ 220Wts,Und,80,,1,
132,132,twiteer soundstreeam 110w,Und,-,,1,
133,133,twitter celestium,Und,7,,1,
134,134,SuBuffer Pioneer 1400 Wts,Und,180,,1,
135,135,pantalla pioneer 2850BT,Und,700,,1,
136,136,pioneer x1950UB autoradio,Und,235,,1,
137,137,Radio Pioneer DEH-X5 Bloutouh,Und,340,,1,
138,138,Radio Kenwood 365 Bloutouh,Und,360,,1,
139,139,Amplificador Soundstream 1200 Wts/4 canales,Und,280,,1,
140,140,Amplificador black hawk 1400 Wts/5canales,Und,330,,1,
141,141,Kit de instalación KOMBAT,Und,70,,1,
142,142,convertidor de señales KOMBAT,Und,37,,1,
143,143,portafusible para amplificador,Und,9,,1,
144,144,cable RCA - KOMBAT - 3 metros,Und,11,,1,
145,145,"Cable ""Y"" KOMBAT",Und,5,,1,
146,146,fusibles para amplificador,Und,2,,1,
147,147,claxon caracol HELLA,Und,36.44,,1,
148,148,Claxon 2 cornetas HELLA,Und,61.86,,1,
149,149,Claxon caracol BOSH,Und,33.9,,1,
150,150,HID - h11,Und,92.4,,1,
151,151,HID - h1,Und,92.4,,1,
152,152,foco neblinero empotrado,Und,39,,1,
153,153,foco 9 puntos (c/angel,Und,80,,1,
154,154,foco jebe tipo ojo de angel,Und,20,,1,
155,155,foco de salon grande cuadrado,Und,4,,1,
